id_acao,descricao_acao,id_oe
4.2.1,"Promover a atualização contínua dos servidores estaduais dos órgãos de trânsito e mobilidade, bem como de outros órgãos correlatos (polícias, DER-SP, ARTESP, secretarias setoriais) nos conceitos e práticas do Sistema Seguro e da Visão Zero",OE 4.2
4.2.2,"Apoiar a atualização contínua de gestores, técnicos e agentes municipais de trânsito e mobilidade em conceitos e práticas do Sistema Seguro e da Visão Zero",OE 4.2
4.3.1,"Atualizar a capacitação periódica e especializada em segurança viária para motoristas profissionais, alinhando-a ao Sistema Seguro",OE 4.3
4.3.2,"Atualizar a formação de instrutores e examinadores de trânsito, alinhando-a ao Sistema Seguro",OE 4.3
4.3.3,"Articular junto ao Governo Federal a atualização da formação de condutores, revisando metodologias, ferramentas e plataformas de ensino, incluindo modalidades de ensino a distância",OE 4.3
4.3.4,Adequar os locais de provas prática e teórica de condutores para garantir qualidade e segurança do processo,OE 4.3
4.3.5,Divulgar campanhas educativas de trânsito nas notificações digitais de autuação e penalidade e aplicativos de gestão de CNH,OE 4.3
5.1.1,Desenvolver guia com diretrizes para o desenvolvimento de campanhas de comunicação em segurança viária,OE 5.1
5.1.2,"Realizar campanhas de comunicação de mídia de massa periódicas e planejadas com base em dados e evidências, articuladas às operações de fiscalização, e focadas nos principais fatores e grupos de risco",OE 5.1
5.1.3,"Realizar campanhas de comunicação multicanal, em âmbito estadual e regional, focadas na dissuasão dos principais comportamentos de risco identificados por dados",OE 5.1
5.2.1,Promover um programa permanente de capacitações em segurança viária para equipes de comunicação e porta-vozes de entes estaduais,OE 5.2
5.2.2,"Publicar e disseminar uma guia oficial de narrativa de segurança viária do estado, para incorporar a abordagem de Visão Zero e Sistema Seguro e o termo ‘sinistro de trânsito’ em todos os materiais de comunicação do Estado",OE 5.2
5.2.3,Publicar e disseminar um guia prático de comunicação de segurança viária para orientar os órgãos e entidades estaduais que compõem o Sistran-SP,OE 5.2
5.2.4,"Realizar a manutenção de relacionamento permanente com a imprensa para ampliar e qualificar a cobertura da segurança viária, por meio de mídia ganha",OE 5.2
5.3.1,Promover um programa de capacitações em segurança viária para as equipes de comunicação de entes municipais,OE 5.3
5.3.2,"Estabelecer parcerias estratégicas com órgãos e entidades do setor público, privado, acadêmico e sociedade civil organizada para a ampliação da comunicação em segurança viária",OE 5.3
5.3.3,"Instituir um calendário anual de comunicação para segurança viária, alinhado ao calendário estadual integrado, para orientar o planejamento das campanhas e atividades de comunicação junto a entes estaduais e municipais",OE 5.3
6.1.1,Viabilizar a atuação conjunta e compartilhamento de informações de fiscalização de trânsito,OE 6.1
6.1.2,"Desenvolver planejamento integrado de ações de fiscalização entre órgãos estaduais e municipais, priorizando fatores de risco e áreas críticas",OE 6.1
6.1.3,"Elaborar o Manual Estadual de Procedimentos Operacionais Padrão (POP) para Fiscalização em Segurança Viária, reunindo padronização de diretrizes, fluxos e procedimentos operacionais de fiscalização de trânsito urbano e rodoviário",OE 6.1
6.1.4,Apoiar municípios na integração e fortalecimento de suas estruturas de fiscalização,OE 6.1
6.1.5,Promover capacitação e intercâmbio técnico entre agentes de fiscalização alinhada aos princípios de Visão Zero e do Sistema Seguro,OE 6.1
6.1.6,Promover sensibilização e cooperação técnica com o Poder Judiciário sobre segurança viária e processos de infrações,OE 6.1
6.2.1,Produzir diagnósticos periódicos baseados em evidências para avaliar o impacto das ações de fiscalização,OE 6.2
6.2.2,"Promover melhorias nos sistemas de registro e acompanhamento de autuações, assegurando padronização e eficiência",OE 6.2
6.2.3,"Realizar operações de fiscalização integradas entre órgãos municipais, estaduais e do Sistema Nacional de Trânsito, priorizando fatores de risco e áreas críticas",OE 6.2
6.2.4,Qualificar a gestão e o uso dos equipamentos de fiscalização,OE 6.2
6.2.5,"Otimizar a fiscalização eletrônica de velocidade em vias, estradas e rodovias prioritárias, com base em dados e evidências",OE 6.2
6.2.6,"Fortalecer estratégias de prevenção e combate a infratores contumazes em comportamentos de risco no trânsito, com uso de tecnologias e interoperabilidades de dados",OE 6.2
6.2.7,"Elaborar propostas normativas e técnicas relativas à fiscalização de limites de velocidade, padrões de equipamentos, critérios de concessão e procedimentos de fiscalização em contratos de concessão rodoviária",OE 6.2
6.3.1,"Disseminar informações e boas práticas sobre uso de tecnologias de fiscalização entre entes estaduais, municípios e concessionárias",OE 6.3
6.3.2,Estabelecer parcerias com academia e setor privado para Pesquisa e Desenvolvimento (P&D) em tecnologias de fiscalização e monitoramento,OE 6.3
6.3.3,"Modernizar a lavratura e o processamento dos autos de infração, com uso de tecnologias digitais integradas e aperfeiçoamento das fases de comunicação, recurso e defesa",OE 6.3
7.1.1,"Estimular a manutenção preventiva periódica de veículos de transporte de passageiros e de carga, com cronogramas amplamente divulgados e plano de fiscalização contínua",OE 7.1
7.1.2,"Fomentar inspeções periódicas em veículos de transporte coletivo, escolar, de carga e de aprendizagem, garantindo o cumprimento de critérios rigorosos de segurança",OE 7.1
7.1.3,"Aprimorar o uso de dados para identificação de falhas de segurança e direcionamento de recalls junto às montadoras, ampliando transparência e alcance das campanhas",OE 7.1
7.1.4,"Estudar políticas de incentivo à renovação de frota de segmentos críticos (motofrete, transporte escolar, ônibus intermunicipais)",OE 7.1
7.1.5,Editar normativa estadual exigindo cláusulas de manutenção preventiva certificada em contratos de frotas públicas e concessionadas,OE 7.1
7.1.6,"Regulamentar a reinserção de veículos leiloados na frota, por meio de inspeções rigorosas de segurança, evitando a circulação de veículos sinistrados ou tecnicamente e estruturalmente condenados",OE 7.1
7.1.7,"Estudar a implementação de medidas de certificação e rastreabilidade de peças automotivas, evitando a utilização de peças falsas",OE 7.1
7.2.1,Articular junto ao Governo Federal e Secretaria Nacional de Trânsito a ampliação de critérios obrigatórios de tecnologias de segurança em veículos produzidos e comercializados no Brasil,OE 7.2
7.2.2,"Articular junto à Secretaria Nacional de Trânsito a criação de selo de certificação de segurança para veículos produzidos no Brasil e importados, e de documento digital contendo histórico completo do veículo",OE 7.2
7.2.3,Articular junto ao Governo Federal a criação de legislação que determine a instalação de registradores de dados e informações (event data recorders) em veículos,OE 7.2
7.3.1,"Instituir, no âmbito do Sistran-SP, fórum permanente de governança da segurança veicular, com participação de órgãos estaduais, federais, municípios, concessionárias, montadoras, entidades técnicas e organizações da sociedade civil",OE 7.3
7.3.2,"Promover capacitação e espaços de intercâmbio técnico entre servidores, municípios e instituições do setor automotivo, padronizando práticas e fortalecendo capacidades em inspeção e segurança veicular",OE 7.3
7.3.3,"Produzir pareceres técnicos e análises jurídicas periódicas sobre normas e regulamentações de segurança veicular, para subsidiar processos de revisão e tomada de decisão",OE 7.3
8.1.1,Articular órgãos envolvidos nos chamados de emergência para integrar chamamento e triagem em sinistros de trânsito,OE 8.1
8.1.2,"Planejar estrategicamente a alocação espacial do efetivo de resposta a emergências, prevendo aumento da quantidade de profissionais e de veículos de atendimento",OE 8.1
8.1.3,Revisar continuamente os protocolos de atendimento pré-hospitalar e compatibilizar com os hospitalares,OE 8.1
8.1.4,Estabelecer parcerias entre órgãos envolvidos no atendimento pré-hospitalar e órgãos municipais de trânsito para estabelecimento de procedimentos de priorização de circulação das ambulâncias e viaturas,OE 8.1
8.1.5,Ampliar capacitação em Suporte Básico de Vida (SBV),OE 8.1
8.2.1,Fortalecer a rede estadual integrada de atendimento hospitalar,OE 8.2
8.2.2,Integrar os sistemas de informação de saúde,OE 8.2
8.2.3,"Promover capacitação continuada para equipes multiprofissionais de urgência e emergência, com inclusão de protocolos de cuidado integral das vítimas e familiares",OE 8.2
8.3.1,Promover o cuidado especializado e humanizado às vítimas de sinistros e seus familiares,OE 8.3
8.4.1,"Definir padrão e diretrizes de atendimento ao trauma, com diretrizes obrigatórias de atenção integral ao trauma nos contratos de concessão de rodovias, assegurando atendimento rápido e qualificado às vítimas",OE 8.4
8.4.2,"Definir padrão de atendimento a sinistros em rodovias estaduais sob administração pública direta, com integração de serviços estaduais e municipais de urgência e emergência",OE 8.4
8.4.3,"Integrar órgãos de trânsito municipais aos Grupos Regionais de Saúde e de Enfrentamento à Violência, fortalecendo a articulação intersetorial e implantando uma agenda permanente de discussão",OE 8.4
