id_indicador,id_oe,nome_indicador,descricao_indicador,formula,fonte,periodicidade
3.3B,OE 3.3,Implantação de ciclovias ou ciclofaixas em trechos rodoviários críticos,"Mede o quanto da extensão de trechos rodoviários críticos sob administração pública direta recebeu ciclovias ou ciclofaixas efetivamente implantadas, ou seja, a cobertura real de infraestrutura ciclável segura em locais de maior risco para ciclistas. Mostra o progresso da implementação de projetos que protegem ciclistas em pontos críticos da malha viária estadual.",(extensão de trechos críticos com ciclovias/ciclofaixas implantadas ÷ total de trechos críticos para ciclistas sob administração pública direta) × 100,Levantamento SEMIL-SP/Ciclo Comitê Paulista (CCP),A cada 3 anos
4.1A,OE 4.1,Educadores estaduais e municipais integrados à rede paulista de educadores em segurança viária,Mede a capacidade do Estado de estruturar e articular profissionais para promover educação em segurança viária em âmbito escolar estadual e municipal.,(nº de educadores e articuladores integrados à rede ÷ total de educadores estaduais e municipais) × 100,Dados da rede paulista de educadores em segurança viária,Anual
4.1B,OE 4.1,Variação anual no número de inscrições na ação de Reconhecimento Estadual de Boas Práticas de Segurança Viária na Rede de Educação Superior,"Mede a evolução do engajamento dos pesquisadores, professores e instituições de educação superior com o tema da segurança viária ao longo do tempo, refletida pela variação anual no número de inscrições submetidas à ação.",[(nº de inscrições no ano corrente − nº de inscrições no ano anterior) ÷ nº de inscrições no ano anterior] x 100,Dados do Reconhecimento Estadual de Boas Práticas de Segurança Viária na Rede de Educação Superior,Anual
4.1C,OE 4.1,Variação do interesse dos jovens em segurança viária antes e depois das ações de sensibilização,"Mede a variação do grau de interesse e conscientização de jovens sobre segurança viária antes e depois da aplicação de ações de sensibilização, refletindo a efetividade das atividades educativas em engajar o público-alvo.",[(taxa de interesse pós-atividade − taxa de interesse pré-atividade) ÷ taxa de interesse pré-atividade] x 100,Dados das atividades nas ações de sensibilização,Anual
4.2A,OE 4.2,Servidores estaduais capacitados com conteúdos de Sistema Seguro e Visão Zero,"Mede a proporção de servidores estaduais que participaram de capacitação que incorporaram efetivamente os conteúdos e conceitos do Sistema Seguro e da Visão Zero, refletindo o alcance e a disseminação dessas abordagens entre os profissionais envolvidos na gestão da segurança viária.",(nº de servidores capacitados com conteúdos do Sistema Seguro e Visão Zero ÷ total de servidores capacitados no período) x 100,Levantamento estadual do SISTRAN-SP,Anual
4.2B,OE 4.2,Municípios utilizando conteúdos de capacitação estadual sobre Sistema Seguro e Visão Zero,"Mede a proporção de municípios que utilizaram os conteúdos oficiais fornecidos pelo Estado em capacitações sobre Sistema Seguro e Visão Zero, refletindo a abrangência e a adesão das práticas de capacitação estadual no tema nos municípios.",(nº de municípios que aplicaram conteúdos fornecidos pelo Estado ÷ 645 municípios paulistas) x 100,Diagnóstico de Segurança Viária dos Municípios Paulistas (DETRAN-SP),A cada 3 anos
4.3A,OE 4.3,Instrutores de trânsito utilizando materiais didáticos homologados pelo Estado,"Mede a proporção de instrutores de trânsito que utilizam materiais didáticos e referenciais pedagógicos homologados pelo Estado, refletindo o grau de adoção dos conteúdos oficiais e a padronização da formação profissional em segurança viária.",(nº de instrutores que usaram materiais homologados ÷ total instrutores com atuação no Estado) x 100,Levantamento EPT (DETRAN-SP),Anual
4.3B,OE 4.3,Alcance das campanhas educativas nas notificações digitais de autuação e aplicativos de CNH,"Mede a variação no alcance das campanhas educativas de trânsito veiculadas por notificações digitais de autuação e penalidade e por aplicativos de gestão de CNH, refletindo a capacidade de ampliar o público impactado pelas ações de conscientização e promoção de comportamentos seguros no trânsito.",(nº de pessoas alcançadas nas campanhas digitais no período atual – nº de pessoas alcançadas no período anterior) ÷ nº de pessoas alcançadas no período anterior] x 100,Levantamento DSV (DETRAN-SP),Anual
5.1A,OE 5.1,Recordação (recall) da campanha principal do ano pelo público-alvo,"Mede a eficácia da campanha em ser lembrada (penetração da mensagem) pelo público-alvo, indicando o quanto a comunicação foi efetivamente absorvida.",(nº de entrevistados do público-alvo que lembram da campanha ÷ total de entrevistados do público-alvo na pesquisa) x 100,Pesquisa pós-campanha,Anual
5.1B,OE 5.1,Conversão comportamental atribuída à campanha,"Mede a eficácia persuasiva da campanha. Em vez de medir a mudança geral na população (que poderia ter outras causas), este indicador isola e mede, dentro do grupo que não praticava o comportamento seguro, qual o percentual de pessoas que passaram a adotá-lo por influência direta da comunicação.",(nº de entrevistados que declaram ter passado a adotar o comportamento seguro DEPOIS da campanha ÷ total de entrevistados do público-alvo expostos à campanha) x 100,Pesquisa pós-campanha,Anual
5.2A,OE 5.2,Matérias na imprensa que utilizam a terminologia correta sobre segurança viária,"Mede o sucesso das ações de relacionamento com a imprensa e a adoção do Manual de Narrativa pelos jornalistas, indicando a profissionalização do debate público, avaliando matérias na imprensa que utilizam a terminologia correta sobre segurança viária (ex: “sinistro” em vez de “acidente”).",(nº de matérias monitoradas que usam a terminologia correta ÷ total de matérias monitoradas sobre o tema) x 100,Levantamento ASCOM (DETRAN-SP),Anual
5.2B,OE 5.2,Cobertura midiática da segurança viária como tema de saúde pública,"Mede a percepção da imprensa sobre o tema, avaliando se ela passou a tratar os sinistros de forma mais aprofundada (causas sistêmicas, saúde) e menos superficial (apenas fatos policiais/ trânsito/cotidiano).","(nº de matérias classificadas com ""enquadramento alinhado""* ÷ total de matérias analisadas no período) x 100",Levantamento ASCOM (DETRAN-SP),Anual
5.3A,OE 5.3,Adesão ao Calendário Estadual Integrado de Comunicação pelos municípios,"Mede a capilaridade e o sucesso da estratégia de articulação do Estado, avaliando a capacidade de engajar os municípios em uma agenda de comunicação unificada.",(nº de municípios que aderiram ao calendário ÷ 645 municípios paulistas) x 100,Levantamento ASCOM (DETRAN-SP),Anual
5.3B,OE 5.3,Ações de comunicação de impacto realizadas em conjunto com parceiros estratégicos,"Mede a efetividade das parcerias estratégicas, quantificando o quanto elas se traduziram em ações concretas de comunicação que ampliam o alcance da mensagem.",(nº de parcerias com ações de impacto ÷ total de parcerias) x 100,Levantamento ASCOM (DETRAN-SP),Anual
6.1A,OE 6.1,Cobertura da formalização da cooperação interinstitucional,"Mede o grau de institucionalização da cooperação entre os órgãos fiscalizadores (DETRAN-SP, polícias, GCMs, municípios).",(nº de parcerias ou acordos de cooperação ativos entre órgãos de fiscalização ÷ total de parcerias ou acordos planejados) x 100,Levantamento DAL (DETRAN-SP),Anual
6.1B,OE 6.1,Cobertura do planejamento integrado de ações de fiscalização entre órgãos estaduais e municipais,Mede a abrangência territorial do planejamento conjunto de operações de fiscalização.,(nº de planos estratégicos de fiscalização regionais estabelecidos com dados do Infosiga ÷ total de regiões estaduais definidas para planejamento de ações de fiscalização),Levantamento DSV (DETRAN-SP),Anual
6.2A,OE 6.2,Conformidade da fiscalização eletrônica de velocidade com critérios de priorização de risco,"Mede o alinhamento entre a implantação da fiscalização eletrônica de velocidade e os critérios técnicos de priorização de risco, avaliando se os recursos estão sendo aplicados onde o risco é maior.",(nº de equipamentos instalados em locais identificados como de alto risco ÷ total de equipamentos instalados) x 100,Levantamento CETRAN-SP,Anual
6.2B,OE 6.2,Intensidade da fiscalização de alcoolemia,"Mede a frequência e a intensidade das operações de fiscalização de alcoolemia, cruciais para aumentar a percepção de risco de punição para este fator de risco.",nº de testes de etilômetro aplicados no período por 100 mil habitantes,Levantamento DFT (DETRAN-SP),Mensal
6.2C,OE 6.2,Condutores envolvidos em sinistros com autuações de risco prévias (Infratores Contumazes),"Mede a proporção de condutores de risco que se envolvem em sinistros, ajudando a monitorar a efetividade das estratégias de combate a infratores contumazes.",(nº de condutores envolvidos em sinistros com autuações de risco nos 12 meses anteriores ÷ total de condutores envolvidos em sinistros) x 100,Levantamento DFT (DETRAN-SP),Anual
6.3A,OE 6.3,Taxa de digitalização do processamento de autos de infração,"Mede a modernização do processo de lavratura e processamento de infrações, buscando maior eficiência e transparência.",(nº de autos de infração lavrados e processados via sistemas digitais integrados ÷ total de autos de infração lavrados e processados) x 100,Levantamento CETRAN-SP,Trimestral
6.3B,OE 6.3,Parcerias e acordos de cooperação de Pesquisa e Desenvolvimento (P&D) com tecnologias implantadas em fiscalização e monitoramento,"Mede a proporção de parcerias e cooperações para pesquisa e desenvolvimento em tecnologias de fiscalização e monitoramento que resultaram em soluções efetivamente implantadas, refletindo o grau de conversão da inovação em resultados práticos para a gestão da segurança viária.",(nº de parcerias e acordos de cooperação com tecnologias efetivamente implantadas ÷ total de parcerias e acordos de cooperação de P&D firmados) x 100,Levantamento DSV (DETRAN-SP),A cada 3 anos
7.1A,OE 7.1,Cobertura da exigência de manutenção preventiva em frotas públicas,Mede o cumprimento da diretriz de manutenção certificada em contratos públicos e concessionados.,(nº de contratos públicos e concessionados com cláusulas de manutenção preventiva certificada ÷ total de contratos públicos e concessionados existentes) x 100,Levantamento DVA (DETRAN-SP),Anual
7.1B,OE 7.1,Conformidade dos veículos de transporte de passageiros intermunicipal com a manutenção preventiva periódica e o cronograma de vistoria técnica,"Mede a proporção de veículos de transporte de passageiros intermunicipal que estão em conformidade com a manutenção preventiva periódica e com o cronograma de vistoria técnica estabelecidos em portaria administrativa. O indicador expressa o nível de aderência das frotas às exigências de manutenção e a efetividade da fiscalização sistemática, contribuindo para a redução de falhas mecânicas e de riscos viários associados.",(nº de veículos de transporte de passageiros intermunicipal em conformidade com a manutenção preventiva e vistoria técnica ÷ total de veículos de transporte de passageiros intermunicipal fiscalizados) x 100,Levantamento DVA (DETRAN-SP),Anual
7.2A,OE 7.2,Veículos envolvidos em sinistros graves ou fatais com histórico de sinistro prévio ou condenação técnica/estrutural,"Mede a proporção de veículos envolvidos em sinistros graves ou fatais que apresentavam, antes do evento, histórico de sinistro prévio, classificação como veículo sinistrado, perda, ou condenação técnica/estrutural no DETRAN-SP, identificados por meio da integração entre boletins de ocorrência e o histórico veicular. O indicador permite avaliar a efetividade das ações de regulamentar e controlar a reinserção de veículos leiloados na frota, assegurando que retornem ao uso apenas após inspeções de segurança rigorosas.",(nº de veículos envolvidos em sinistros graves ou fatais com histórico prévio de sinistro ou condenação técnica/estrutural ÷ total de veículos envolvidos em sinistros graves ou fatais) x 100,Infosiga; consolidação Assessoria Policial e DSV (DETRAN-SP),Anual
7.3A,OE 7.3,Participação dos atores no fórum permanente de governança da segurança veicular,"Mede a proporção de atores-chave que participam efetivamente do fórum permanente de governança da segurança veicular, refletindo o grau de articulação, engajamento e integração entre os diversos setores na definição de políticas e práticas de segurança veicular.",(nº de órgãos e entidades participantes efetivamente das reuniões do fórum ÷ total de órgãos e entidades convidados ou membros previstos) x 100,Dados do fórum permanente de governança da segurança veicular,Semestral
7.3B,OE 7.3,Incorporação de pareceres técnicos e análises jurídicas em revisões normativas de segurança veicular,"Mede a proporção de pareceres técnicos e análises jurídicas produzidas que foram efetivamente incorporadas em revisões normativas de segurança veicular, refletindo a relevância e impacto das análises do Estado na atualização das normas e regulamentações.",(nº de pareceres técnicos e análises jurídicas incorporadas em revisões de normas ÷ total de pareceres técnicos e análises jurídicas produzidos) x 100,Levantamento DVA (DETRAN-SP),A cada 3 anos
8.1A,OE 8.1,Integração dos fluxos de atendimento entre serviços de emergência,"Mede a efetividade da integração e coordenação entre os diferentes serviços de emergência, indicando o grau em que os fluxos de acionamento e atendimento são respeitados, garantindo rapidez, continuidade do cuidado e redução de erros ou atrasos no atendimento às vítimas.",(nº de atendimentos em que os fluxos de acionamento e comunicação entre todos os serviços de emergência foram corretamente seguidos ÷ total de atendimentos registrados no período) × 100,Levantamento Corpo de Bombeiros da Polícia Militar do Estado de São Paulo (CBPMESP),Anual
8.1B,OE 8.1,Cobertura dos serviços de emergência no Estado,"Mede a proporção do território estadual que possui cobertura efetiva de serviços de emergência, refletindo a capacidade do Estado de prestar atendimento rápido e eficaz a vítimas no trânsito em qualquer região.",(população residente atendida por serviços de emergência adequados ÷ população residente total do Estado),Levantamento Corpo de Bombeiros da Polícia Militar do Estado de São Paulo (CBPMESP),Anual
8.2A,OE 8.2,Percentual de sinistros com dados de saúde e desfechos clínicos no Infosiga,"Mede a proporção de sinistros registrados no Infosiga que possuem informações de saúde e desfechos clínicos associadas, refletindo a efetividade da integração entre sistemas de informação de trânsito e saúde e a capacidade do Estado de monitorar o impacto clínico dos sinistros em tempo real.",(nº de sinistros registrados no Infosiga com informações de saúde e desfechos clínicos ÷ total de sinistros registrados no Infosiga) × 100,Infosiga; consolidação DETRAN-SP,Anual
8.2B,OE 8.2,Profissionais de urgência e emergência capacitados nos protocolos de cuidado integral das vítimas e familiares,"Mede a proporção de profissionais de urgência e emergência que receberam capacitação nos protocolos de cuidado integral das vítimas e de seus familiares, refletindo o alcance, a disseminação e a implementação de práticas padronizadas de atendimento e suporte às vítimas de sinistros de trânsito.",(nº de profissionais de urgência e emergência capacitados ÷ total de profissionais de urgência e emergência ) x 100,Levantamento GRAU (SES-SP),Anual
8.3A,OE 8.3,Profissionais de saúde e assistência social capacitados em atendimento humanizado e comunicação sensível,"Mede a proporção de profissionais de saúde e assistência social que participaram de capacitação que incorporaram efetivamente os conteúdos sobre atendimento humanizado e comunicação sensível com vítimas e familiares, refletindo o alcance e a disseminação dessas abordagens entre os profissionais envolvidos no cuidado pós-sinistro.",(nº de profissionais de saúde e assistência social capacitados com conteúdos de atendimento humanizado e comunicação sensível ÷ total de profissionais capacitados no período) x 100,Levantamento GRAU (SES-SP),Anual
8.4A,OE 8.4,Variação no tempo médio de resposta ao atendimento a traumas em rodovias estaduais concessionadas,"Mede a variação no tempo médio de resposta aos atendimentos de trauma em rodovias concessionadas, refletindo mudanças na eficiência e prontidão do serviço de emergência. Valores negativos indicam redução do tempo de resposta (melhoria), enquanto valores positivos apontam aumento do tempo médio (piora).",[(tempo médio de resposta no período corrente − tempo médio de resposta no período anterior) ÷ tempo médio de resposta no período anterior] × 100,Levantamento da ARTESP,Anual
8.4B,OE 8.4,Variação no tempo médio de resposta ao atendimento a traumas em rodovias estaduais sob administração pública direta,"Mede a variação no tempo médio de resposta aos atendimentos de trauma em rodovias estaduais, refletindo mudanças na eficiência e prontidão do serviço de emergência. Valores negativos indicam redução do tempo de resposta (melhoria), enquanto valores positivos apontam aumento do tempo médio (piora).",[(tempo médio de resposta no período corrente − tempo médio de resposta no período anterior) ÷ tempo médio de resposta no período anterior] × 100,Levantamento do DER-SP,Anual
