id_produto,id_ator
2.1.4.3,A040
2.1.4.3,A041
2.1.4.4,A009
2.1.4.4,A023
2.1.4.5,A008
2.1.4.5,A011
2.1.5.1,A011
2.1.5.1,A036
2.1.5.2,A011
2.1.5.2,A036
2.1.5.3,A011
2.1.5.3,A036
2.2.1.2,A033
2.2.1.3,A004
2.2.1.4,A009
2.2.1.5,A009
2.2.1.6,A008
2.2.1.6,A040
2.2.1.7,A020
2.2.1.8,A036
2.3.2.1,A011
2.3.5.2,A011
2.3.5.3,A011
3.1.1.1,A027
3.1.1.1,A030
3.1.1.1,A037
3.1.1.2,A027
3.1.1.2,A030
3.1.1.2,A037
3.1.1.3,A004
3.1.1.3,A009
3.1.1.3,A027
3.1.1.3,A030
3.1.1.3,A032
3.1.1.3,A037
3.1.2.1,A009
3.1.2.1,A011
3.1.2.1,A032
3.1.2.2,A009
3.1.2.2,A011
3.1.2.2,A032
3.1.2.3,A009
3.1.2.3,A011
3.1.2.3,A032
3.1.2.4,A009
3.1.2.4,A011
3.1.2.4,A032
3.1.3.1,A009
3.1.3.1,A011
3.1.3.1,A027
3.1.3.1,A032
3.1.3.1,A037
3.1.3.2,A009
3.1.3.2,A011
3.1.3.2,A027
3.1.3.2,A032
3.1.3.2,A037
3.1.3.3,A009
3.1.3.3,A011
3.1.3.3,A027
3.1.3.3,A032
3.1.3.3,A037
3.1.3.4,A009
3.1.3.4,A011
3.1.3.4,A027
3.1.3.4,A032
3.1.3.4,A037
3.1.3.5,A009
3.1.3.5,A011
3.1.3.5,A027
3.1.3.5,A032
3.1.3.5,A037
3.1.4.1,A004
3.1.4.1,A011
3.1.4.1,A032
3.1.4.1,A037
3.1.4.2,A004
3.1.4.2,A011
3.1.4.2,A032
3.1.4.2,A037
3.1.4.3,A004
3.1.4.3,A011
3.1.4.3,A032
3.1.4.3,A037
3.1.4.4,A004
3.1.4.4,A011
3.1.4.4,A032
3.1.4.4,A037
3.1.4.5,A004
3.1.4.5,A011
3.1.4.5,A032
3.1.4.5,A037
3.1.5.1,A004
3.1.5.1,A011
3.1.5.1,A032
3.1.5.2,A004
3.1.5.2,A011
3.1.5.2,A032
3.1.5.3,A004
3.1.5.3,A011
3.1.5.3,A032
3.1.5.4,A004
3.1.5.4,A011
3.1.5.4,A032
3.1.6.1,A004
3.1.6.1,A008
3.1.6.1,A011
3.1.6.1,A027
3.1.6.2,A004
3.1.6.2,A008
3.1.6.2,A011
3.1.6.2,A027
3.2.1.1,A004
3.2.1.2,A009
3.2.1.3,A004
3.2.1.4,A009
3.2.1.5,A004
3.2.1.5,A011
3.2.1.6,A011
3.2.1.7,A004
3.2.1.7,A011
3.2.1.8,A009
3.2.1.8,A011
3.2.2.1,A027
3.2.2.1,A030
3.2.2.1,A037
3.2.2.2,A027
3.2.2.2,A030
3.2.2.2,A037
3.2.2.3,A027
3.2.2.3,A030
3.2.2.3,A037
3.2.2.4,A027
3.2.3.1,A004
3.2.3.1,A011
3.2.3.2,A004
3.2.3.2,A011
3.2.3.3,A004
3.2.3.3,A011
3.2.3.4,A004
3.2.3.4,A011
3.2.3.5,A004
3.2.3.5,A011
3.3.1.1,A004
3.3.1.1,A009
3.3.1.1,A011
3.3.1.1,A032
3.3.1.2,A004
3.3.1.2,A009
3.3.1.2,A011
3.3.1.2,A032
3.3.2.1,A004
3.3.2.1,A009
3.3.2.1,A011
3.3.2.1,A027
3.3.2.1,A030
3.3.2.1,A037
3.3.2.2,A004
3.3.2.2,A009
3.3.2.2,A011
3.3.2.2,A027
3.3.2.2,A030
3.3.2.2,A037
3.3.2.3,A004
3.3.2.3,A009
3.3.2.3,A011
3.3.2.3,A027
3.3.2.3,A030
3.3.2.3,A037
3.3.2.4,A004
3.3.2.4,A011
3.3.2.4,A027
3.3.2.4,A030
3.3.2.4,A032
3.3.2.4,A037
3.3.2.5,A009
3.3.2.5,A011
3.3.2.5,A027
3.3.2.5,A030
3.3.2.5,A032
3.3.2.5,A037
4.1.1.1,A008
4.1.1.1,A009
4.1.1.1,A011
4.1.1.1,A031
4.1.1.2,A031
4.1.1.3,A008
4.1.1.3,A011
4.1.1.4,A008
4.1.1.4,A031
4.1.1.5,A008
4.1.1.5,A011
4.1.2.1,A011
4.1.2.2,A008
4.1.2.2,A031
4.1.2.3,A008
4.1.2.3,A031
4.1.2.4,A009
4.1.2.4,A031
4.1.2.4,A033
4.1.3.1,A004
4.1.3.1,A008
4.1.3.1,A009
4.1.3.2,A004
4.1.3.2,A009
4.1.3.3,A004
4.1.3.3,A008
4.1.3.3,A009
4.1.4.1,A031
4.1.4.2,A031
4.1.4.3,A011
4.1.4.4,A031
4.1.4.5,A031
4.2.1.1,A004
4.2.1.1,A008
4.2.1.1,A009
4.2.1.1,A023
4.2.1.1,A029
4.2.1.1,A030
4.2.1.1,A031
4.2.1.1,A032
4.2.1.1,A033
4.2.1.1,A036
4.2.1.1,A037
4.2.1.2,A004
4.2.1.2,A009
4.2.1.2,A011
4.2.1.2,A023
4.2.1.2,A029
4.2.1.2,A030
4.2.1.2,A031
4.2.1.2,A032
4.2.1.2,A033
4.2.1.2,A036
4.2.1.2,A037
4.2.2.1,A008
4.2.2.2,A004
4.2.2.2,A009
4.2.2.2,A011
4.2.2.2,A023
4.2.2.2,A031
4.2.2.2,A032
4.2.2.2,A033
4.3.1.1,A004
4.3.1.1,A009
4.3.1.1,A032
4.3.3.1,A004
4.3.3.1,A009
4.3.3.1,A011
4.3.3.1,A031
4.3.3.2,A004
4.3.3.2,A008
4.3.3.2,A009
4.3.3.2,A031
4.3.5.1,A009
4.3.5.1,A029
4.3.5.1,A040
4.3.5.2,A009
4.3.5.2,A029
5.1.1.1,A029
5.1.1.2,A029
5.1.2.1,A029
5.1.2.2,A029
5.1.2.3,A028
5.1.2.3,A029
5.1.2.4,A029
5.1.3.1,A029
5.1.3.2,A029
5.2.1.1,A008
5.2.1.2,A008
5.2.1.2,A029
5.2.1.3,A008
5.2.1.4,A017
5.2.1.4,A029
5.2.2.1,A029
5.2.2.2,A029
5.2.3.1,A029
5.2.3.2,A008
5.2.3.2,A017
5.2.3.2,A029
5.2.4.1,A017
5.2.4.1,A029
5.2.4.2,A017
5.2.4.2,A029
5.2.4.3,A017
5.2.4.3,A029
5.2.4.4,A017
5.2.4.4,A029
5.3.1.1,A008
5.3.1.1,A035
5.3.1.2,A029
5.3.2.1,A008
5.3.2.1,A029
5.3.2.1,A035
5.3.2.2,A008
5.3.2.2,A029
5.3.2.2,A035
5.3.3.1,A008
5.3.3.1,A029
5.3.3.2,A008
5.3.3.2,A017
5.3.3.2,A029
6.1.1.1,A004
6.1.1.1,A008
6.1.1.1,A009
6.1.1.1,A023
6.1.1.1,A024
6.1.1.2,A008
6.1.1.2,A009
6.1.1.2,A023
6.1.1.2,A024
6.1.1.2,A041
6.1.1.3,A004
6.1.1.3,A009
6.1.1.3,A023
6.1.1.3,A024
6.1.1.3,A041
6.1.2.1,A002
6.1.2.1,A004
6.1.2.1,A008
6.1.2.1,A009
6.1.2.1,A023
6.1.2.1,A024
6.1.2.1,A040
6.1.2.1,A041
6.1.2.2,A002
6.1.2.2,A004
6.1.2.2,A009
6.1.2.2,A023
6.1.2.2,A024
6.1.2.2,A040
6.1.2.2,A041
6.1.2.3,A002
6.1.2.3,A004
6.1.2.3,A009
6.1.2.3,A023
6.1.2.3,A024
6.1.2.3,A040
6.1.2.3,A041
6.1.2.4,A002
6.1.2.4,A004
6.1.2.4,A009
6.1.2.4,A023
6.1.2.4,A024
6.1.2.4,A040
6.1.2.4,A041
6.1.3.1,A004
6.1.3.1,A008
6.1.3.1,A009
6.1.3.1,A023
6.1.3.1,A024
6.1.3.1,A041
6.1.3.2,A004
6.1.3.2,A009
6.1.3.2,A023
6.1.3.2,A024
6.1.3.2,A029
6.1.3.2,A040
6.1.3.2,A041
6.1.4.1,A008
6.1.4.1,A023
6.1.4.1,A041
6.1.4.2,A023
6.1.4.2,A041
6.1.4.3,A008
6.1.4.3,A023
6.1.4.3,A041
6.1.5.1,A002
6.1.5.1,A004
6.1.5.1,A009
6.1.5.1,A023
6.1.5.1,A024
6.1.5.1,A032
6.1.5.1,A040
6.1.5.1,A041
6.1.5.2,A002
6.1.5.2,A004
6.1.5.2,A009
6.1.5.2,A023
6.1.5.2,A024
6.1.5.2,A032
6.1.5.2,A040
6.1.5.2,A041
6.1.5.3,A008
6.1.5.3,A023
6.1.5.3,A024
6.1.5.3,A040
6.1.5.3,A041
6.1.6.1,A002
6.1.6.1,A004
6.1.6.1,A006
6.1.6.1,A008
6.1.6.1,A009
6.1.6.1,A010
6.1.6.1,A011
6.1.6.1,A016
6.1.6.1,A023
6.1.6.1,A024
6.1.6.1,A027
6.1.6.1,A030
6.1.6.1,A032
6.1.6.1,A037
6.1.6.1,A040
6.1.6.1,A041
6.1.6.2,A008
6.2.1.1,A004
6.2.1.1,A009
6.2.1.1,A023
6.2.1.1,A024
6.2.1.1,A040
6.2.1.1,A041
6.2.1.2,A004
6.2.1.2,A009
6.2.1.2,A023
6.2.1.2,A024
6.2.1.2,A040
6.2.1.2,A041
6.2.2.1,A004
6.2.2.1,A009
6.2.2.1,A011
6.2.2.1,A016
6.2.2.1,A040
6.2.2.1,A041
6.2.2.2,A004
6.2.2.2,A009
6.2.2.2,A011
6.2.2.2,A016
6.2.2.2,A023
6.2.2.2,A024
6.2.2.2,A040
6.2.2.2,A041
6.2.2.3,A004
6.2.2.3,A009
6.2.2.3,A011
6.2.2.3,A016
6.2.2.3,A023
6.2.2.3,A024
6.2.2.3,A040
6.2.2.3,A041
6.2.2.4,A004
6.2.2.4,A008
6.2.2.4,A009
6.2.2.4,A011
6.2.2.4,A023
6.2.2.4,A024
6.2.2.4,A040
6.2.3.1,A004
6.2.3.1,A008
6.2.3.1,A009
6.2.3.1,A023
6.2.3.1,A024
6.2.3.1,A040
6.2.3.2,A040
6.2.4.1,A002
6.2.4.1,A004
6.2.4.1,A009
6.2.4.1,A010
6.2.4.1,A023
6.2.4.1,A024
6.2.4.1,A040
6.2.4.1,A041
6.2.4.2,A002
6.2.4.2,A004
6.2.4.2,A009
6.2.4.2,A010
6.2.4.2,A023
6.2.4.2,A024
6.2.4.2,A040
6.2.4.2,A041
6.2.4.3,A002
6.2.4.3,A004
6.2.4.3,A009
6.2.4.3,A010
6.2.4.3,A023
6.2.4.3,A024
6.2.4.3,A040
6.2.4.3,A041
6.2.5.1,A004
6.2.5.1,A008
6.2.5.1,A009
6.2.5.1,A023
6.2.5.1,A024
6.2.5.1,A041
6.2.5.2,A004
6.2.5.2,A008
6.2.5.2,A009
6.2.5.2,A023
6.2.5.2,A024
6.2.5.2,A041
6.2.5.3,A004
6.2.5.3,A009
6.2.5.3,A011
6.2.5.3,A040
6.2.5.3,A041
6.2.6.1,A004
6.2.6.1,A009
6.2.6.1,A023
6.2.6.1,A040
6.2.6.2,A004
6.2.6.2,A009
6.2.6.2,A023
6.2.6.2,A040
6.2.7.1,A002
6.2.7.1,A004
6.2.7.1,A009
6.2.7.1,A010
6.2.7.1,A023
6.2.7.1,A024
6.2.7.1,A041
6.2.7.2,A002
6.2.7.2,A004
6.2.7.2,A009
6.2.7.2,A010
6.2.7.2,A011
6.2.7.2,A023
6.2.7.2,A024
6.2.7.2,A041
6.2.7.3,A004
6.2.7.3,A009
6.2.7.3,A010
6.2.7.3,A011
6.2.7.3,A023
6.2.7.3,A041
6.3.1.1,A004
6.3.1.1,A009
6.3.1.1,A023
6.3.1.1,A040
6.3.1.2,A004
6.3.1.2,A009
6.3.1.2,A023
6.3.1.2,A040
6.3.2.1,A004
6.3.2.1,A005
6.3.2.1,A009
6.3.2.1,A015
6.3.2.1,A021
6.3.2.2,A005
6.3.2.2,A015
6.3.2.2,A021
6.3.3.1,A008
6.3.3.1,A041
6.3.3.2,A008
6.3.3.2,A041
6.3.3.3,A008
6.3.3.3,A041
7.1.1.1,A002
7.1.1.1,A003
7.1.1.1,A004
7.1.1.1,A009
7.1.1.1,A023
7.1.1.1,A024
7.1.1.2,A012
7.1.1.3,A002
7.1.1.3,A003
7.1.1.3,A004
7.1.1.3,A009
7.1.1.3,A023
7.1.1.3,A024
7.1.1.4,A013
7.1.1.4,A023
7.1.1.4,A024
7.1.1.5,A002
7.1.1.5,A004
7.1.1.5,A009
7.1.1.5,A010
7.1.1.5,A024
7.1.1.5,A031
7.1.2.1,A002
7.1.2.1,A003
7.1.2.1,A004
7.1.2.1,A009
7.1.2.1,A023
7.1.2.1,A024
7.1.2.2,A002
7.1.2.2,A003
7.1.2.2,A004
7.1.2.2,A009
7.1.2.2,A023
7.1.2.2,A024
7.1.2.3,A014
7.1.2.4,A011
7.1.3.1,A019
7.1.3.2,A019
7.1.3.3,A019
7.1.4.1,A007
7.1.4.1,A011
7.1.4.1,A032
7.1.4.1,A034
7.1.4.1,A035
7.1.4.1,A038
7.1.4.2,A007
7.1.4.2,A019
7.1.4.2,A032
7.1.4.2,A034
7.1.4.2,A035
7.1.4.2,A038
7.1.5.1,A001
7.1.5.1,A003
7.1.5.1,A004
7.1.5.1,A009
7.1.5.2,A001
7.1.5.2,A003
7.1.5.2,A004
7.1.5.2,A009
7.1.6.1,A007
7.1.6.1,A011
7.1.6.1,A035
7.1.6.1,A036
7.1.6.2,A036
7.1.6.3,A014
7.1.7.1,A019
7.1.7.1,A036
7.1.7.2,A018
7.1.7.2,A025
7.1.7.2,A036
7.2.1.1,A011
7.2.1.2,A011
7.2.2.1,A011
7.2.2.2,A011
7.2.3.1,A008
7.3.1.1,A003
7.3.1.1,A004
7.3.1.1,A009
7.3.1.1,A011
7.3.1.2,A003
7.3.1.2,A004
7.3.1.2,A009
7.3.1.2,A011
7.3.1.3,A003
7.3.1.3,A004
7.3.1.3,A009
7.3.1.3,A011
7.3.2.1,A012
7.3.2.2,A003
7.3.2.2,A004
7.3.2.2,A009
7.3.2.2,A023
7.3.2.2,A024
7.3.2.2,A036
7.3.2.3,A003
7.3.2.3,A004
7.3.2.3,A009
7.3.2.3,A023
7.3.2.3,A024
7.3.2.3,A036
7.3.3.1,A008
7.3.3.2,A008
8.1.1.1,A033
8.1.1.1,A039
8.1.1.2,A033
8.1.1.2,A039
8.1.1.3,A033
8.1.1.3,A039
8.1.2.1,A033
8.1.2.1,A039
8.1.2.2,A033
8.1.2.2,A039
8.1.2.3,A036
8.1.2.3,A039
8.1.2.4,A036
8.1.2.4,A039
8.1.3.1,A036
8.1.3.1,A039
8.1.3.2,A036
8.1.3.2,A039
8.1.3.3,A036
8.1.3.3,A039
8.1.3.4,A036
8.1.3.4,A039
8.1.3.5,A036
8.1.3.5,A039
8.1.3.6,A036
8.1.3.6,A039
8.1.4.1,A041
8.1.4.2,A041
8.1.5.1,A011
8.1.5.1,A036
8.1.5.2,A011
8.1.5.2,A036
8.2.1.1,A011
8.2.1.1,A039
8.2.1.2,A039
8.2.2.1,A011
8.2.2.2,A011
8.2.3.1,A005
8.2.3.1,A015
8.2.3.2,A005
8.2.3.2,A015
8.3.1.1,A011
8.3.1.1,A026
8.3.1.2,A011
8.3.1.2,A026
8.3.1.2,A030
8.3.1.3,A004
8.3.1.3,A011
8.3.1.3,A029
8.4.1.1,A004
8.4.1.1,A009
8.4.1.1,A011
8.4.1.2,A009
8.4.1.2,A011
8.4.1.2,A033
8.4.1.3,A009
8.4.1.3,A011
8.4.1.3,A033
8.4.1.4,A009
8.4.1.4,A011
8.4.1.4,A029
8.4.1.4,A033
8.4.2.1,A033
8.4.2.1,A036
8.4.2.2,A004
8.4.2.2,A033
8.4.2.2,A036
8.4.2.3,A033
8.4.2.3,A036
8.4.2.4,A033
8.4.2.4,A036
8.4.2.5,A033
8.4.2.5,A036
8.4.2.6,A004
8.4.2.6,A033
8.4.2.6,A036
8.4.3.1,A041
